iter,tourLength,time
1,3801.318592,351
2,3748.054065,386
3,3590.723974,343
4,3494.698356,364
5,3444.305300,440
6,3324.165411,431
7,3289.339655,347
8,3187.264039,328
9,3269.201232,328
10,3188.215357,327
11,3237.524435,343
12,3145.674006,353
13,3174.680955,329
14,3141.640957,335
15,3092.555665,336
16,3001.865660,330
17,3114.370809,340
18,2949.154088,364
19,3039.855758,332
20,3096.232481,353
21,3065.930992,341
22,3030.663202,330
23,3100.667482,328
24,3056.906089,350
25,3047.775411,335
26,2990.751800,331
27,3026.359211,337
28,3039.220817,329
29,2967.309751,332
30,3102.370856,338
31,3074.050873,340
32,3042.642638,331
33,2951.147756,333
34,3076.705352,334
35,3096.706684,358
36,3079.777855,329
37,3037.172329,370
38,3109.168879,331
39,3061.441872,385
40,3100.089910,380
41,3122.346441,336
42,3144.431265,333
43,3096.857492,345
44,3122.009224,323
45,3112.231027,327
46,3082.671426,332
47,3082.372363,346
48,3124.925232,330
49,3085.846833,353
50,3075.611446,350
51,3100.511799,340
52,3087.771658,328
53,3091.360226,331
54,3110.463411,341
55,3101.849931,351
56,3131.090454,338
57,3076.812906,331
58,3049.575574,330
59,3136.194671,337
60,3105.467355,332
61,3098.413717,340
62,3154.728127,358
63,3141.363737,331
64,3129.821440,351
65,3101.384023,334
66,3115.509257,337
67,3113.564103,342
68,3106.471530,337
69,3114.091762,333
70,3117.564413,330
71,3147.534436,335
72,3122.908165,328
73,3155.987102,357
74,3134.137536,336
75,3117.447062,335
76,3142.295036,333
77,3146.267111,333
78,3080.915050,330
79,3164.213438,366
80,3144.185998,347
81,3112.166952,339
82,3121.221304,334
83,3132.178018,322
84,3123.568776,333
85,3124.564310,332
86,3120.936343,341
87,3111.457758,332
88,3113.241688,328
89,3140.666894,328
90,3157.246174,333
91,3155.872797,337
92,3161.737421,354
93,3097.539898,335
94,3169.596963,363
95,3152.071766,335
96,3175.204288,329
97,3119.701879,329
98,3106.511165,345
99,3147.330351,333
100,3112.054871,332
101,3088.731228,333
102,3150.151973,333
103,3097.539898,327
104,3133.150509,334
105,3139.644896,329
106,3188.929236,336
107,3154.629969,343
108,3110.994402,351
109,3095.804673,355
110,3155.352519,352
111,3164.213438,363
112,3136.634814,405
113,3109.731047,372
114,3167.442333,335
115,3197.342593,330
116,3111.908626,341
117,3195.064390,341
118,3206.763257,328
119,3183.264077,344
120,3208.540243,328
121,3198.054501,331
122,3157.571071,338
123,3183.806803,380
124,3194.920446,355
125,3225.986168,357
126,3200.795346,346
127,3194.920446,332
128,3187.552633,343
129,3220.324159,342
130,3204.305056,337
131,3206.763257,330
132,3192.769740,328
133,3209.028100,332
134,3200.751762,348
135,3194.920446,336
136,3194.920446,328
137,3208.540243,346
138,3200.751762,342
139,3227.484501,336
140,3194.920446,343
141,3194.920446,338
142,3225.671256,328
143,3209.028100,330
144,3221.572349,333
145,3227.201609,333
146,3228.527766,334
147,3185.992039,342
148,3220.555254,343
149,3200.751762,330
150,3194.920446,335
151,3206.763257,333
152,3213.550120,346
153,3202.242512,359
154,3194.920446,324
155,3202.555888,338
156,3223.723345,334
157,3209.028100,331
158,3194.920446,329
159,3213.550120,340
160,3208.540243,379
161,3216.993052,387
162,3213.550120,325
163,3208.540243,337
164,3194.920446,328
165,3228.077031,335
166,3208.540243,362
167,3217.649026,358
168,3224.065900,328
169,3158.942887,324
170,3200.751762,335
171,3206.907200,335
172,3225.671256,340
173,3217.649026,332
174,3194.920446,445
175,3221.572349,361
176,3194.920446,329
177,3221.572349,346
178,3217.649026,337
179,3208.540243,332
180,3215.828700,331
181,3208.540243,353
182,3194.920446,348
183,3227.229147,335
184,3180.195050,337
185,3208.540243,336
186,3206.763257,331
187,3222.282895,332
