iter,tourLength,time
1,19287.009465,378
2,19262.250209,378
3,19552.924507,383
4,20006.023780,394
5,20354.778865,373
6,19722.850168,375
7,19845.587574,375
8,20137.677235,375
9,19905.715968,406
10,19775.292276,376
11,20163.081065,388
12,20096.131464,401
13,19303.389350,375
14,19876.085215,381
15,19690.388591,385
16,19724.384324,384
17,20200.011679,371
18,20615.208285,382
19,19841.056342,381
20,19659.116608,397
21,19824.824001,375
22,18856.344781,381
23,19634.815472,377
24,19872.806181,399
25,20021.999274,446
26,20422.078090,380
27,19976.100911,377
28,19886.437551,378
29,19179.484361,378
30,19675.473638,383
31,19947.047321,393
32,19649.679210,375
33,19179.492386,375
34,19155.113449,378
35,19562.890060,380
36,19828.288968,388
37,19182.841670,390
38,20296.161310,394
39,19987.594365,377
40,19513.562798,384
41,19696.120173,387
42,19304.210652,383
43,19983.848998,375
44,19862.817469,378
45,18984.942040,384
46,19957.400771,380
47,20025.564111,384
48,20090.660242,378
49,18674.106988,375
50,19326.167519,389
51,19427.477795,398
52,19739.099283,407
53,19826.324919,402
54,19238.970144,386
55,19866.418759,379
56,19974.847442,378
57,20013.461829,387
58,20373.848090,399
59,19323.858776,375
60,19978.591588,379
61,20297.210520,383
62,19562.014110,381
63,19312.087334,401
64,19446.842335,408
65,19867.430475,372
66,19354.312368,378
67,19906.348215,377
68,19407.999010,384
69,19779.672708,380
70,19940.256470,377
71,19160.023242,381
72,20187.013111,374
73,19793.163769,374
74,19750.453414,419
75,19649.289550,377
76,20318.915252,387
77,20051.038886,400
78,19836.609344,385
79,19944.596836,380
80,19883.197529,389
81,19195.342970,380
82,19498.174911,388
83,19795.870772,403
84,19314.130901,392
85,19853.345061,392
86,20042.766152,383
87,19908.105643,392
88,19552.653416,377
89,19542.351900,393
90,20059.523935,420
91,19456.762766,379
92,19903.086043,382
93,19568.660942,376
94,19940.875710,382
95,19931.902345,397
96,20005.493031,401
97,19898.419617,383
98,20042.189750,375
99,20290.422322,375
100,19749.938615,377
101,19523.685078,395
102,19655.733814,407
103,20175.160980,384
104,19391.120079,378
105,19905.556087,385
106,20136.005094,382
107,20036.425035,383
108,20152.087726,376
109,19768.529769,380
110,19535.852411,380
111,19696.996516,378
112,19926.788373,389
113,19942.102533,495
114,19329.681031,389
115,19426.381899,394
116,19757.849337,393
117,19505.449838,400
118,19136.729953,369
119,19993.156716,375
120,19740.511691,378
121,19892.064759,377
122,19973.367500,388
123,19450.040225,383
124,19545.205887,384
125,20238.175743,382
126,19573.701115,385
127,19138.620775,383
128,19599.901863,430
129,19433.982535,388
130,19828.864725,381
131,19404.826845,372
132,20031.658070,370
133,18573.358793,381
134,19581.086881,386
135,19977.527830,382
136,19810.012418,378
137,19885.496476,376
138,19769.865083,380
139,19807.875326,407
140,19707.638817,381
141,18525.913429,399
142,19384.111881,387
143,20527.002305,383
144,19657.627858,402
145,19805.693425,387
146,20002.665246,378
147,20091.531877,382
148,18707.055159,378
149,19956.630340,375
150,19951.933423,393
151,19446.323372,379
152,19146.402453,372
153,20161.714357,384
154,19741.262271,404
155,19324.986258,402
156,19843.171442,378
157,19342.491072,371
158,20291.971274,382
159,19086.242618,383
160,19727.818840,380
161,19463.059066,388
162,19598.600457,384
163,19830.882484,372
164,19885.453067,379
165,19805.332900,376
166,19939.522008,396
167,19891.333816,398
168,20222.306440,402
169,20142.996006,398
170,20018.812527,412
171,19077.998657,428
172,19746.301457,401
