iter,tourLength,time
1,26671.142056,115
2,25794.341102,112
3,26567.124863,116
4,26839.840472,113
5,25909.635297,113
6,26143.926680,116
7,25307.303755,112
8,25584.238443,123
9,25143.334327,113
10,23901.771456,112
11,21691.248123,113
12,15175.140583,112
13,8947.047991,112
14,6501.616189,112
15,6256.877138,109
16,6503.864962,118
17,6176.566014,125
18,6135.745810,128
19,6329.870969,112
20,6144.399587,114
21,6347.823260,117
22,6262.182255,114
23,6304.765376,107
24,6042.738890,114
25,6257.962821,110
26,6084.857658,116
27,6109.774781,106
28,6010.928394,113
29,6102.292706,112
30,6157.912912,110
31,6137.502579,113
32,6201.993713,109
33,6129.225002,115
34,6272.939747,115
35,6214.025459,113
36,6203.663863,128
37,6242.157337,119
38,6274.555120,116
39,6150.061593,119
40,6231.752467,113
41,6209.459699,113
42,6143.929362,111
43,6245.638702,112
44,6255.843119,115
45,6112.227036,109
46,6232.010091,107
47,6222.805122,111
48,6319.041276,113
49,6303.435558,111
50,6235.244723,115
51,6250.813170,111
52,6269.740888,110
53,6124.732337,116
54,6147.919660,114
55,6214.535617,116
56,6220.729622,111
57,6280.377154,111
58,6270.449601,113
59,6139.532544,114
60,6339.307109,120
61,6217.492088,126
62,6229.292643,138
63,6250.585897,114
64,6239.004481,115
65,6294.468925,115
66,6149.162175,109
67,6269.588855,110
68,6292.952448,111
69,6086.677174,112
70,6080.601239,111
71,6251.589289,110
72,6137.436476,115
73,6246.421690,123
74,6218.987279,118
75,6322.517167,117
76,6174.396776,118
77,6224.104583,115
78,6269.811660,121
79,6219.737085,121
80,6302.758362,118
81,6193.819699,126
82,6106.452300,116
83,6118.317902,119
84,6270.069271,110
85,6258.090978,112
86,6266.072504,106
87,6249.845931,110
88,6251.589289,114
89,6178.477398,114
90,6061.233380,114
91,6217.973428,114
92,6109.065658,112
93,6247.965596,113
94,6058.497565,110
95,6287.093362,109
96,6267.121854,109
97,6265.058078,112
98,6407.982407,112
99,6218.290254,117
100,6061.251677,113
101,6261.130661,116
102,6155.112256,113
103,6315.953761,118
104,6179.940877,117
105,6065.505692,122
106,6263.958253,119
107,6212.196543,112
108,6314.835433,117
109,6304.521943,115
110,6260.799757,115
111,6296.592257,110
112,6270.449601,117
113,6202.507943,112
114,6107.537736,112
115,6328.452362,112
116,6224.005901,110
117,6319.404754,118
118,6090.542400,112
119,6144.670418,111
120,6320.582094,113
121,6225.708608,112
122,6241.319648,105
123,6180.384066,115
124,6311.634273,113
125,6271.347975,110
126,6253.170584,116
127,6252.082692,125
128,6256.721479,113
129,6263.040192,113
130,6197.417247,112
131,6292.581146,115
132,6211.277372,109
133,6281.668369,114
134,6137.273758,115
135,6302.302924,123
136,6214.365105,113
137,6130.195205,109
138,6232.796094,115
139,6317.529328,112
140,6070.047825,115
141,6389.600325,111
142,6222.939656,115
143,6172.205943,112
144,6304.108987,119
145,6262.737496,117
146,6299.554178,120
147,6333.264536,115
148,6181.638383,119
149,6172.204403,124
150,6285.167194,122
151,6230.743166,121
152,6263.468175,115
153,6306.764982,123
154,6386.025309,125
155,6312.339417,118
156,6314.752958,117
157,6265.730446,112
158,6301.533570,114
159,6067.851932,112
160,6100.805254,113
161,6365.017436,112
162,6269.688789,114
163,6060.176961,121
164,6118.747962,115
165,6261.651686,113
166,6285.883324,113
167,6169.343690,114
168,6320.000062,114
169,6221.417423,114
170,6316.054150,115
171,6249.300362,118
172,6356.236205,117
173,6302.511866,116
174,6165.213967,110
175,6128.665653,115
176,6263.379760,113
177,6130.850623,114
178,6230.183562,118
179,6372.736088,112
180,6140.311590,114
181,6304.043195,131
182,6281.911825,115
183,6201.666435,114
184,6252.142567,115
185,6384.416880,112
186,6262.296985,114
187,6291.231861,112
188,6268.325311,114
189,6293.631606,115
190,6254.195617,119
191,6311.256592,117
192,6266.826516,122
193,6363.043138,124
194,6317.943432,114
195,6081.879944,117
196,6278.414383,112
197,6318.392285,113
198,6344.059277,111
199,6287.552034,118
200,6293.115404,113
201,6298.539667,110
202,6318.361904,113
203,6201.190015,114
204,6252.703118,110
205,6180.950095,116
206,6219.330705,113
207,6221.941310,118
208,6297.889727,119
209,6249.651157,114
210,6278.226951,116
211,6261.109758,117
212,6334.454120,113
213,6358.696883,117
214,6162.557986,115
215,6309.413854,113
216,6310.068112,122
217,6112.918089,117
218,6308.636545,120
219,6222.231042,116
220,6363.155784,118
221,6220.017890,112
222,6258.901501,118
223,6299.863806,118
224,6353.592515,116
225,6224.879631,117
226,6261.557013,133
227,6122.135437,119
228,6237.721718,115
229,6276.605083,115
230,6292.490323,112
231,6201.869822,115
232,6251.891026,113
233,6198.807288,120
234,6317.444589,126
235,6351.191374,145
236,6308.157765,116
237,6265.061781,113
238,6299.809553,117
239,6352.754500,113
240,6335.404032,112
241,6361.913919,118
242,6298.997573,112
243,6286.999965,114
244,6271.555083,122
245,6313.513771,113
246,6247.992313,112
247,6217.820014,115
248,6320.106258,120
249,6284.190574,113
250,6262.737496,118
251,6282.230500,120
252,6329.658920,120
253,6261.208959,116
254,6210.936046,112
255,6195.318997,118
256,6150.399135,111
257,6222.939656,116
258,6341.055589,120
259,6278.470023,116
260,6299.805321,119
261,6330.960423,116
262,6250.748022,121
263,6294.674199,114
264,6247.211679,117
265,6330.815397,115
266,6271.435009,111
267,6262.631391,112
268,6258.340478,114
269,6251.194859,111
270,6222.785431,122
271,6274.906496,113
272,6290.044590,113
273,6310.843927,113
274,6195.337742,120
275,6150.399135,119
276,6285.107691,118
277,6275.775538,121
278,6321.362202,127
279,6373.526119,115
280,6275.775538,120
281,6283.100674,121
282,6335.432789,117
283,6278.226886,115
284,6277.863138,116
285,6320.419012,114
286,6326.104362,114
287,6271.347975,114
288,6235.832725,127
289,6279.516204,116
290,6232.010091,114
291,6179.940877,114
292,6282.446087,113
293,6222.939656,117
294,6282.952625,115
295,6156.579318,113
296,6314.429535,112
297,6341.786684,116
298,6192.869715,114
299,6278.681850,117
300,6257.238336,115
301,6274.341978,114
302,6271.098860,115
303,6302.433453,118
304,6285.046657,117
305,6327.492105,115
306,6272.203023,119
307,6315.953045,110
308,6396.103334,112
309,6246.534084,114
310,6288.178815,115
311,6265.247279,112
312,6184.683181,115
313,6275.923336,111
314,6302.214440,114
315,6333.522046,122
316,6220.604991,126
317,6340.445521,122
318,6253.870787,117
319,6248.713217,121
320,6353.381037,121
321,6298.286483,123
322,6168.216422,117
323,6213.606645,117
324,6290.015118,119
325,6195.697750,111
326,6250.239945,115
327,6260.899783,127
328,6232.329861,113
329,6293.630094,110
330,6287.144189,114
331,6220.374723,117
332,6227.708351,116
333,6207.748706,117
334,6202.152191,116
335,6269.885647,113
336,6251.204851,111
337,6215.575550,113
338,6312.720821,113
339,6319.607339,117
340,6204.305860,115
341,6230.579949,114
342,6192.038375,131
343,6207.335275,113
344,6204.355011,116
345,6298.714532,114
346,6292.393345,117
347,6310.429849,118
348,6292.194503,114
349,6122.004273,112
350,6178.337234,112
351,6181.261079,120
352,6238.416737,113
353,6265.636664,121
354,6212.558497,117
355,6196.674054,114
356,6348.379593,114
357,6262.605260,114
358,6171.950759,116
359,6154.436484,121
360,6217.487920,115
361,6246.113909,119
362,6154.579044,122
363,6223.929454,124
364,6168.216422,119
365,6184.284273,118
366,6224.115427,110
367,6322.692110,113
368,6207.995920,115
369,6207.779310,128
370,6309.052267,120
371,6182.239285,113
372,6252.583015,113
373,6237.730972,115
374,6241.999851,113
375,6326.505735,115
376,6182.538094,115
377,6226.453337,121
378,6178.530948,113
379,6201.400939,117
380,6237.954669,116
381,6141.522496,113
382,6187.825371,115
383,6155.914479,115
384,6213.728616,117
385,6192.038375,115
386,6260.282996,115
387,6303.453771,118
388,6212.852201,115
389,6225.048990,129
390,6179.129144,111
391,6179.129144,114
392,6219.804147,111
393,6115.241863,114
394,6314.945746,115
395,6256.906729,127
396,6246.883086,113
397,6211.009293,118
398,6191.076496,116
399,6166.164218,116
400,6168.216422,116
401,6208.146199,119
402,6210.981875,111
403,6092.168781,115
404,6131.289280,152
405,6228.495067,151
406,6178.933868,160
407,6308.903493,146
408,6294.639499,124
409,6275.580773,118
410,6183.366038,116
411,6222.136822,113
412,6303.133301,121
413,6205.205684,115
414,6205.205684,114
415,6241.576047,116
416,6272.801739,117
417,6147.455304,152
418,6294.120213,156
419,6224.941214,158
420,6182.538094,161
421,6272.834551,158
422,6225.744673,157
423,6119.764752,157
424,6149.019107,159
425,6239.115301,157
426,6200.615648,163
427,6214.721731,158
428,6178.071639,153
429,6220.017890,156
430,6217.820014,160
431,6200.615648,168
432,6229.858517,155
433,6349.292854,160
434,6225.628361,157
435,6162.557986,161
436,6198.253441,156
437,6209.459699,156
438,6280.301238,143
439,6172.281360,149
440,6214.816518,149
441,6282.310341,131
442,6170.765466,126
443,6316.776658,120
444,6130.332307,117
445,6237.792298,116
446,6298.392487,118
447,6211.404459,115
448,6282.055650,119
449,6078.213837,117
450,6241.037557,116
451,6143.493712,115
452,6198.502676,115
453,6238.295490,115
454,6314.843383,113
455,6293.976915,115
456,6220.346911,116
457,6198.194497,120
458,6205.205684,116
459,6406.024507,116
460,6348.984695,111
461,6189.290387,120
462,6278.242780,116
463,6206.864783,116
464,6189.261079,119
465,6255.798392,118
466,6269.950048,129
467,6280.735855,126
468,6209.459699,122
469,6212.102391,114
470,6200.615648,116
471,6349.096159,113
472,6241.732887,110
473,6239.763624,116
474,6191.373057,114
475,6185.261893,129
476,6164.374144,115
477,6267.321027,114
478,6279.613121,115
479,6273.395786,116
480,6273.395786,118
481,6193.663365,121
482,6223.165464,125
483,6214.827254,113
484,6143.493712,119
485,6143.493712,116
486,6265.891204,114
487,6260.837874,114
488,6208.622405,112
489,6278.316932,114
490,6140.837479,112
491,6206.864783,111
492,6227.510940,112
493,6335.861950,121
494,6200.267958,113
495,6243.232878,114
496,6180.329288,113
497,6143.493712,115
498,6180.329288,113
499,6223.759067,116
500,6228.547111,113
