iter,tourLength,time
1,20013.480554,63
2,21069.368288,56
3,20028.711726,53
4,20945.662857,53
5,20580.948502,55
6,19992.071939,57
7,20758.809689,59
8,20454.983785,54
9,20043.821688,57
10,20476.863548,73
11,19971.135774,59
12,20923.548826,54
13,20520.089942,53
14,20355.501599,55
15,20048.780902,58
16,19412.665004,57
17,20312.923879,56
18,20767.858681,58
19,20633.859639,58
20,20071.745641,58
21,19161.669822,59
22,20546.256861,56
23,19795.631169,58
24,19320.802764,55
25,20965.000997,58
26,20087.714830,63
27,20159.344001,58
28,20225.146122,58
29,20378.783870,56
30,20031.719571,58
31,20604.055426,55
32,19984.356066,56
33,20302.259327,64
34,20483.635152,56
35,19562.850141,51
36,20306.837609,55
37,19225.504866,57
38,20319.848729,77
39,20552.087642,57
40,20490.176893,52
41,20348.604635,54
42,19991.076492,56
43,20535.994667,73
44,20153.850048,59
45,19490.211481,55
46,20354.411637,56
47,19680.148795,53
48,20283.281459,63
49,20671.499088,53
50,20507.855835,54
51,20879.069006,51
52,20525.468002,53
53,20729.604823,55
54,20226.301936,54
55,19946.225618,54
56,20928.612657,58
57,19598.777351,58
58,19190.182215,55
59,20287.894811,75
60,20848.738199,62
61,20900.411491,53
62,20413.779594,51
63,20847.601366,53
64,19667.278849,56
65,20838.082601,54
66,20310.824566,54
67,20044.525239,56
68,19792.173071,53
69,20489.306536,55
70,20869.361304,55
71,19936.082782,54
72,20146.738938,57
73,20454.835566,57
74,20684.645506,54
75,20324.681162,53
76,20480.626816,57
77,20172.780744,54
78,19963.505081,57
79,20507.055679,71
80,20844.547032,59
81,19954.773703,55
82,20488.128767,52
83,20239.195841,56
84,20836.011971,73
85,20031.971159,58
86,20593.055451,52
87,20387.447353,56
88,19813.654739,54
89,20262.149611,54
90,20724.203767,51
91,20438.415175,56
92,20422.927852,56
93,20255.611007,53
94,20429.657832,55
95,21246.392381,56
96,20534.314265,55
97,20438.181527,71
98,19775.939929,60
99,21307.732311,56
100,20020.142912,53
101,19548.902054,55
102,20479.601301,53
103,19753.000266,52
104,20718.425742,58
105,20664.165786,58
106,19876.436135,53
107,20857.846707,54
108,19711.361414,57
109,20967.766377,56
110,20017.176276,54
111,20301.500091,54
112,20402.911156,57
113,20518.754460,53
114,20613.555597,54
115,20910.482880,56
116,20523.923719,56
117,21398.438008,55
118,20450.845758,66
119,20588.779571,56
120,20193.932644,51
121,19992.704967,54
122,20597.139123,53
123,20245.894233,55
124,20902.756722,53
125,21183.354242,57
126,20131.933513,63
127,20074.442131,57
128,20404.689634,53
129,19710.150291,53
130,20295.200396,58
131,20229.943084,63
132,19719.637769,56
133,20865.221857,52
134,20966.117685,54
135,19675.583887,53
136,20039.690501,57
137,19642.716444,63
138,19512.821886,64
139,20046.557946,84
140,20559.001110,84
141,19657.783819,88
142,20389.616613,53
143,20295.268672,56
144,20731.898454,56
145,19647.773930,54
146,19373.528103,58
147,20328.850991,56
148,20838.612472,57
149,19316.475457,57
150,19904.049287,57
