iter,tourLength,time
1,4480.055410,53
2,4288.491270,55
3,4397.551660,51
4,4052.184171,51
5,4199.217623,53
6,4139.810765,53
7,4029.761288,52
8,4009.737883,57
9,3978.779152,61
10,3867.902135,53
11,3722.668560,52
12,3709.421418,53
13,3492.984084,51
14,3425.040761,52
15,3403.275599,52
16,3362.228415,52
17,3420.340017,52
18,3248.511648,51
19,3325.335622,55
20,3221.765312,53
21,3201.426419,52
22,3276.630799,56
23,2993.307311,53
24,3121.682425,53
25,3086.069530,52
26,3290.578994,51
27,2937.810658,53
28,3242.662925,56
29,3023.773320,60
30,2994.016985,63
31,3025.803892,64
32,3219.028052,60
33,3037.803244,55
34,3130.865550,54
35,3197.119326,52
36,3221.025639,51
37,3265.146058,53
38,3208.146849,52
39,3245.531009,52
40,3313.480125,51
41,3223.691542,54
42,3305.636622,51
43,3212.832100,52
44,3239.456800,51
45,3223.619866,51
46,3212.082457,52
47,3280.029039,51
48,3261.015955,51
49,3314.076632,51
50,3249.408207,54
51,3261.324106,52
52,3220.359154,52
53,3312.359234,51
54,3257.875977,51
55,3327.131605,51
56,3263.145196,51
57,3262.494328,52
58,3240.436816,50
59,3261.324106,53
60,3316.926263,51
61,3254.718246,53
62,3263.848163,51
63,3261.015955,53
64,3264.429963,53
65,3302.947308,51
66,3273.084560,53
67,3240.421910,51
68,3299.208266,53
69,3306.923407,56
70,3256.963685,55
71,3240.421910,56
72,3262.571904,53
73,3242.961765,70
74,3253.934191,54
75,3299.208266,56
76,3242.961765,53
77,3263.145196,58
78,3261.324106,53
79,3299.208266,53
80,3261.678322,52
81,3251.522622,54
82,3226.693799,53
83,3298.556170,53
84,3243.060209,52
85,3317.207547,54
86,3312.871090,52
87,3305.119435,56
88,3291.074700,54
89,3196.607677,53
90,3243.060209,55
91,3196.607677,52
92,3284.308402,51
93,3306.229521,52
94,3325.232196,54
95,3299.208266,52
96,3311.576655,53
97,3306.449935,55
98,3271.411347,55
99,3298.556170,55
100,3306.229521,54
101,3317.174543,58
102,3269.357027,56
103,3249.511683,57
104,3299.208266,57
105,3215.316337,57
106,3340.397493,57
107,3285.574790,55
108,3298.556170,53
109,3329.399847,56
110,3323.648198,59
111,3290.089716,54
112,3263.957427,56
113,3311.057709,55
114,3305.119435,53
115,3337.934366,58
116,3320.186507,54
117,3317.174543,53
118,3308.168115,55
119,3323.168486,59
120,3290.565924,55
121,3317.424187,51
122,3319.814963,53
123,3298.556170,57
124,3300.230010,55
125,3317.174543,52
126,3299.208266,50
127,3330.539057,52
128,3299.208266,52
129,3308.962666,52
130,3308.168115,54
131,3319.125896,55
132,3308.168115,52
133,3323.984350,53
134,3308.962666,52
135,3291.159046,51
136,3333.890408,50
137,3323.168486,52
138,3323.984350,52
139,3322.421313,55
140,3325.167079,55
141,3320.186507,54
142,3298.556170,54
143,3324.430661,54
144,3297.132429,52
145,3321.145033,53
146,3327.131605,52
147,3323.984350,55
148,3323.648198,52
149,3317.207547,51
150,3329.820166,53
