iter,tourLength,time
1,4266.871678,105
2,4161.103541,98
3,4156.279798,97
4,4146.427788,96
5,4107.739498,94
6,3949.362694,104
7,4044.232538,96
8,3965.415367,105
9,3831.069519,95
10,3692.271053,99
11,3769.009449,107
12,3556.797644,106
13,3609.063735,105
14,3544.047777,98
15,3233.410387,101
16,3442.046353,108
17,3467.611251,104
18,3338.505597,101
19,3237.160653,95
20,3307.884660,106
21,3294.054469,97
22,3292.242565,105
23,3361.088130,94
24,3324.300471,96
25,3210.307187,97
26,3289.828752,106
27,3248.493068,103
28,3143.459110,96
29,3284.375690,105
30,3196.001683,95
31,3060.530602,105
32,3306.165104,103
33,3297.110747,96
34,3135.881299,103
35,3202.671531,98
36,3317.236668,95
37,3343.191217,97
38,3350.257134,104
39,3183.153472,108
40,3254.417215,97
41,3320.863554,107
42,3241.880714,96
43,3110.982409,95
44,3359.179081,97
45,3289.890952,95
46,3423.040937,96
47,3183.944934,101
48,3418.642306,100
49,3221.268754,108
50,3393.515123,95
51,3367.536321,107
52,3386.459465,95
53,3241.821929,95
54,3303.659921,96
55,3190.743222,106
56,3172.032121,109
57,3323.366366,95
58,3280.619587,96
59,3277.920100,95
60,3201.544823,100
61,3304.628031,104
62,3168.557937,100
63,3304.941450,101
64,3320.854009,96
65,3165.972571,96
66,3335.604439,105
67,3219.569623,94
68,3292.994244,101
69,3247.396119,98
70,3190.211532,95
71,3204.576562,95
72,3267.401153,97
73,3288.751092,95
74,3217.585164,104
75,3081.917002,106
76,3330.655051,99
77,3272.814151,95
78,3290.494429,95
79,3265.929084,94
80,3215.844800,94
81,3218.031293,100
82,3155.924695,107
83,3331.446333,106
84,3199.383854,96
85,3391.988497,107
86,3297.600247,96
87,3082.455532,105
88,3263.613377,96
89,3298.392141,95
90,3164.715303,106
91,3197.527977,97
92,3259.181038,96
93,3256.338815,96
94,3231.019261,94
95,3303.703749,104
96,3143.431178,106
97,3346.935230,107
98,3248.267541,96
99,3170.856120,106
100,3184.158277,107
101,3072.712175,98
102,3086.410799,98
103,3055.047227,93
104,3259.391690,98
105,3124.449559,96
106,3180.590677,96
107,3201.687446,98
108,3200.237187,95
109,3237.629986,105
110,3133.976956,97
111,3211.215616,96
112,3224.017098,103
113,3289.230575,97
114,3165.837414,96
115,3165.536415,104
116,3199.911053,102
117,3132.106075,105
118,3311.755264,96
119,3243.372311,101
120,3236.524158,94
121,3138.396442,97
122,3132.637275,95
123,3242.007966,104
124,3304.261273,106
125,3179.258092,96
126,3152.933869,96
127,3117.020556,95
128,3150.218347,112
129,3235.329799,107
130,3045.900969,102
131,3053.487565,105
132,3215.897611,98
133,3196.556557,97
134,3192.404178,95
135,3094.893862,97
136,3154.270216,93
137,3223.461023,104
138,3266.588597,97
139,3118.950750,103
140,3186.394151,99
141,3199.229195,105
142,3099.202363,102
143,3043.295527,104
144,3116.677345,107
145,3202.884333,103
146,3036.729503,99
147,3183.793210,101
148,3169.464145,101
149,3141.576378,104
150,3085.453442,99
