iter,tourLength,time
1,4673.375132,171
2,4638.040088,163
3,4232.367470,162
4,3589.866508,166
5,3272.343760,160
6,3216.840608,158
7,3172.146671,169
8,3058.469689,162
9,3110.641711,162
10,3156.349897,161
11,3254.202733,156
12,3208.193663,163
13,3212.761746,187
14,3186.600889,158
15,3199.802471,158
16,3199.666775,173
17,3187.697608,175
18,3238.133137,164
19,3182.356323,179
20,3166.791432,183
21,3195.379887,160
22,3170.474072,163
23,3226.920424,163
24,3179.066665,158
25,3190.318814,162
26,3176.737474,181
27,3180.701583,157
28,3179.177303,151
29,3179.177303,155
30,3127.977658,163
31,3173.336508,161
32,3180.561337,162
33,3180.701583,155
34,3187.993684,157
35,3166.791432,156
36,3176.599174,156
37,3170.474072,163
38,3226.294491,156
39,3194.650131,170
40,3189.999804,161
41,3162.078347,158
42,3185.361081,155
43,3182.432955,157
44,3180.584427,160
45,3175.934489,159
46,3175.333181,161
47,3164.561337,153
48,3164.853261,160
49,3173.160868,162
50,3145.944371,174
51,3173.338047,177
52,3164.561337,171
53,3145.944371,157
54,3145.944371,161
55,3172.792032,162
56,3145.944371,154
57,3145.944371,161
58,3197.332095,159
59,3172.792032,158
60,3178.363121,160
61,3172.792032,165
62,3145.944371,161
63,3172.792032,168
64,3192.039104,170
65,3178.101931,168
66,3177.465870,164
67,3152.525321,166
68,3182.698854,163
69,3196.046352,161
70,3145.944371,155
71,3172.792032,163
72,3186.957108,162
73,3145.944371,160
74,3177.465870,159
75,3145.944371,167
76,3181.319488,158
77,3172.792032,169
78,3183.988834,164
79,3172.792032,165
80,3196.046352,168
81,3183.988834,175
82,3177.465870,165
83,3145.944371,168
84,3152.525321,165
85,3145.944371,160
86,3214.151120,165
87,3177.465870,165
88,3216.857796,158
89,3145.944371,157
90,3183.988834,177
91,3201.754109,168
92,3172.108420,160
93,3172.792032,165
94,3194.599588,163
95,3181.586475,186
96,3171.603222,207
97,3189.387368,162
98,3179.297348,165
99,3183.988834,168
100,3190.006381,156
101,3169.408804,162
102,3152.525321,163
103,3183.988834,165
104,3172.792032,163
105,3152.525321,163
106,3163.475640,163
107,3172.792032,156
108,3163.475640,159
109,3145.944371,164
110,3171.847741,163
111,3145.944371,181
112,3192.091026,175
113,3152.271211,163
114,3196.658685,156
115,3172.682685,165
116,3199.625203,191
117,3145.944371,170
118,3152.525321,164
119,3145.944371,169
120,3172.792032,163
121,3210.719758,163
122,3181.434936,165
123,3198.536337,168
124,3171.603222,168
125,3145.944371,158
126,3229.533631,161
127,3145.944371,167
128,3193.294220,169
129,3196.046352,162
130,3193.294220,162
131,3193.294220,157
132,3193.294220,157
133,3145.944371,163
134,3198.536337,163
135,3181.434936,164
136,3171.847741,162
137,3171.847741,157
138,3187.012473,204
139,3181.434936,215
140,3187.012473,174
141,3181.434936,199
142,3181.434936,186
143,3149.814125,188
144,3208.166790,175
145,3192.672080,162
146,3181.434936,164
147,3181.434936,162
148,3187.012473,162
149,3137.318103,165
150,3180.159981,158
151,3202.168338,165
152,3163.475640,167
153,3177.564388,166
154,3193.294220,179
155,3160.879197,164
156,3194.267024,162
157,3190.865320,160
158,3177.564388,160
159,3163.475640,164
160,3216.857796,172
161,3157.227733,187
162,3168.488431,175
163,3181.434936,226
164,3194.912908,213
165,3137.297317,204
166,3198.536337,189
167,3198.961724,171
168,3194.440368,174
169,3194.912908,173
170,3168.488431,180
171,3181.434936,164
172,3187.012473,157
173,3187.012473,162
174,3185.749166,162
175,3181.434936,167
176,3181.434936,177
177,3206.937834,181
178,3181.434936,181
179,3145.944371,177
180,3145.944371,230
181,3145.944371,222
182,3145.944371,224
183,3167.017161,227
184,3194.635553,225
185,3257.812621,231
186,3241.565175,222
187,3151.493494,232
188,3189.210410,224
189,3238.545046,202
190,3187.346025,184
191,3223.077543,182
192,3245.910028,161
193,3202.969842,162
194,3257.495516,167
195,3257.812621,176
196,3257.495516,193
197,3253.205147,166
198,3254.411456,166
199,3257.729832,166
200,3249.917244,164
201,3247.308088,164
202,3250.581449,163
203,3250.053254,160
204,3210.034160,165
205,3242.677065,164
206,3257.495516,163
207,3257.495516,165
208,3240.342064,163
209,3234.159174,160
210,3229.846842,158
211,3282.239875,164
212,3259.067768,161
213,3247.238538,162
214,3247.262782,159
215,3250.123034,161
216,3245.821520,163
217,3267.556987,162
218,3287.187292,158
219,3235.534637,158
220,3235.534637,160
221,3269.540813,167
222,3235.534637,165
223,3257.495516,162
224,3248.819391,187
225,3257.495516,172
226,3235.534637,179
227,3253.763968,164
228,3250.831607,161
229,3251.159785,162
230,3251.159785,163
231,3235.534637,173
232,3257.495516,170
233,3221.551437,177
234,3251.159785,169
235,3232.597857,162
236,3235.534637,163
237,3234.558280,164
238,3244.180958,162
239,3232.597857,160
240,3253.881152,156
241,3234.558280,163
242,3257.495516,159
243,3234.558280,166
244,3245.429303,163
245,3232.597857,164
246,3235.534637,170
247,3185.000890,167
248,3221.551437,162
249,3243.016033,167
250,3243.016033,157
251,3235.534637,162
252,3256.045233,160
253,3261.731204,163
254,3257.495516,159
255,3266.561249,165
256,3257.103216,171
257,3253.881152,175
258,3235.534637,160
259,3253.881152,175
260,3235.534637,162
261,3235.534637,164
262,3262.375651,166
263,3257.495516,162
264,3271.977747,157
265,3257.103216,157
266,3257.103216,169
267,3257.812621,159
268,3235.534637,166
269,3249.597151,161
270,3235.534637,162
271,3235.534637,164
272,3257.103216,156
273,3257.812621,162
274,3281.376401,161
275,3235.534637,166
276,3243.016033,165
277,3208.378875,158
278,3257.103216,160
279,3221.551437,160
280,3208.378875,164
281,3208.378875,165
282,3235.534637,166
283,3235.534637,165
284,3230.043809,172
285,3270.994189,175
286,3208.378875,177
287,3257.103216,171
288,3208.378875,187
289,3235.534637,161
290,3246.625683,162
291,3230.043809,155
292,3230.043809,159
293,3279.523941,162
294,3214.151120,166
295,3230.043809,159
296,3192.039104,163
297,3192.039104,170
298,3257.495516,165
299,3214.151120,162
300,3252.809858,164
301,3235.534637,166
302,3235.534637,163
303,3247.224685,161
304,3240.122541,162
305,3249.597151,163
306,3214.151120,163
307,3247.224685,163
308,3257.271241,159
309,3134.775407,169
310,3221.551437,166
311,3257.271241,159
312,3235.534637,160
313,3215.747925,163
314,3256.949565,171
315,3257.495516,166
316,3232.597857,176
317,3235.534637,187
318,3262.354905,166
319,3247.312105,162
320,3269.410343,161
321,3257.271241,161
322,3232.597857,182
323,3246.625683,157
324,3238.243783,157
325,3217.735220,154
326,3252.253479,165
327,3217.735220,162
328,3252.253479,166
329,3257.812621,164
330,3261.731204,157
331,3238.780901,161
332,3247.977985,159
333,3238.780901,162
334,3217.735220,161
335,3221.551437,162
336,3252.253479,166
337,3251.188547,163
338,3247.312105,166
339,3238.780901,188
340,3238.780901,163
341,3247.935055,167
342,3238.780901,165
343,3242.243851,161
344,3247.977985,167
345,3257.495516,155
346,3251.243775,175
347,3247.106961,194
348,3247.262782,165
349,3247.842775,161
350,3247.977985,161
351,3238.780901,159
352,3238.780901,170
353,3257.812621,161
354,3257.812621,162
355,3238.780901,167
356,3257.271241,163
357,3214.591273,162
358,3239.779421,167
359,3257.812621,163
360,3235.770402,171
361,3239.779421,166
362,3247.977985,162
363,3215.747925,160
364,3240.219266,171
365,3242.795392,169
366,3242.906355,162
367,3237.909305,165
368,3221.559597,162
369,3243.928875,167
370,3243.972694,170
371,3259.496677,170
372,3240.138561,173
373,3257.495516,168
374,3239.716931,166
375,3251.179201,167
376,3253.732214,182
377,3248.415443,205
378,3266.913961,171
379,3239.294452,161
380,3227.333142,164
381,3176.737474,166
382,3243.692304,165
383,3243.692304,161
384,3243.692304,178
385,3258.173616,168
386,3246.476692,169
387,3261.669881,167
388,3253.205147,169
389,3251.853771,171
390,3228.642746,163
391,3235.767359,166
392,3218.215548,167
393,3234.159174,165
394,3233.058492,165
395,3216.169785,163
396,3244.396005,169
397,3240.342064,172
398,3240.532659,170
399,3257.495516,168
400,3257.812621,163
401,3253.204360,165
402,3240.342064,168
403,3214.767928,167
404,3240.342064,165
405,3267.556987,171
406,3240.342064,171
407,3180.649052,180
408,3242.191720,167
409,3243.187003,171
410,3238.017659,165
411,3252.840802,168
412,3253.804911,169
413,3269.867628,162
414,3210.034160,182
415,3231.420079,169
416,3250.312911,164
417,3231.420079,168
418,3253.804911,165
419,3269.867628,168
420,3240.342064,165
421,3253.763968,167
422,3210.034160,178
423,3240.342064,168
424,3231.420079,167
425,3253.174401,165
426,3234.558280,164
427,3240.342064,171
428,3245.429303,170
429,3228.893857,157
