iter,tourLength,time
1,13764.583237,522
2,14007.450695,527
3,14238.715949,495
4,14030.377344,522
5,14004.525252,512
6,13831.355447,545
7,14062.824059,476
8,13566.096971,476
9,14221.364068,474
10,13760.947982,469
11,14228.208719,494
12,14149.520096,466
13,13779.495364,476
14,13594.803768,479
15,13282.224891,495
16,12936.081537,488
17,13896.442038,472
18,12976.188091,500
19,14536.405575,466
20,13790.937449,488
21,14179.709973,522
22,13468.154987,546
23,13905.099124,476
24,13859.660348,473
25,13757.355897,473
26,14200.343551,484
27,13674.025047,469
28,13736.818465,481
29,13840.864964,471
30,14136.851260,470
31,13888.239083,473
32,13412.507701,497
33,14073.573168,470
34,13432.523272,487
35,14226.319662,495
36,13923.341121,473
37,13572.485475,472
38,13729.890816,472
39,13459.977112,484
40,13714.246325,471
41,13688.188415,474
42,13992.983558,491
43,13856.870385,504
44,13453.930374,473
45,13622.218967,470
46,13661.890052,473
47,13480.769847,475
48,13696.115836,503
49,13871.168335,478
50,14100.548305,481
51,13162.988886,471
52,13800.106036,487
53,13911.120858,501
54,13903.542657,468
55,14145.127946,476
56,14018.132024,471
57,13827.047383,475
58,13795.516629,468
59,13942.627448,473
60,13428.218060,471
61,14043.278179,522
62,14196.732952,465
63,14351.821400,505
64,13604.537306,479
65,13345.180531,472
66,13985.970757,480
67,14036.811934,474
68,13979.368143,480
69,13609.022106,477
70,13452.027971,498
71,13863.245443,476
72,14037.946942,476
73,13635.368881,491
74,13869.647800,506
75,14054.486532,471
76,13940.247977,478
77,13764.920582,484
78,13983.956260,501
79,13957.370362,473
80,14319.309845,472
81,13771.687511,466
82,13511.264025,489
83,14161.065852,565
84,13849.682643,486
85,13816.505417,464
86,12971.899609,469
87,14088.101628,484
88,14296.597609,474
89,13543.468393,471
90,14018.212848,469
91,13967.519806,473
92,13800.168742,475
93,14171.954333,475
94,14153.127177,505
95,13226.484965,479
96,13744.341252,469
97,13415.795662,466
98,13968.603116,483
99,13604.322691,475
100,13914.634241,503
101,13773.958208,468
102,13959.146034,468
103,14094.492922,475
104,13912.535826,486
105,13666.994889,511
106,14003.321947,474
107,13720.939175,469
108,13735.592013,472
109,14103.119587,483
110,14261.768531,471
111,12947.765638,472
112,13995.769505,479
113,14001.137419,476
114,13739.794994,483
115,12966.974161,507
116,14172.459942,476
117,13452.861687,493
118,14047.040190,487
119,13381.109868,472
120,13899.627470,471
121,14098.024893,473
122,14008.875701,494
123,14124.735530,468
124,13392.388305,474
125,14223.929755,492
126,13572.330943,483
127,13956.785910,493
128,14148.780435,464
129,14130.922482,479
130,13891.417838,473
131,13799.334093,477
132,13814.968442,470
133,13544.879362,466
134,13695.957613,470
135,13403.080537,471
136,13672.814383,513
137,13602.721400,472
138,13802.637096,475
139,13428.524387,495
140,13737.008555,491
141,14014.350835,487
142,13198.503541,489
143,14042.766744,472
144,13718.056093,485
145,13827.316153,476
146,14112.979502,499
147,13840.335121,497
148,13402.731324,531
149,14117.780871,475
150,13197.189149,483
151,13049.330870,470
152,13924.877275,494
153,13889.070095,477
154,13549.678725,469
155,14285.781635,472
156,14242.806179,492
157,13583.889793,501
158,14053.804681,481
159,14348.230689,474
160,13845.349846,462
161,14083.319395,486
162,13795.238004,467
163,13040.145471,469
164,13712.798686,467
165,13959.461754,479
166,14125.769248,478
167,14135.908528,504
168,13649.754789,471
169,14216.441633,476
170,13323.038174,524
171,13607.467902,478
172,13998.174003,478
173,12867.517354,469
174,13657.849305,478
175,13697.448945,475
176,13938.347081,484
177,14379.332405,496
178,12962.580206,486
179,14161.148919,475
180,13860.153865,459
181,13567.953749,472
182,13857.958995,480
183,13294.427646,512
184,13842.898390,475
185,13740.491571,478
186,14161.623488,491
187,13830.812651,512
188,13934.925724,536
189,14060.808896,535
190,14206.737054,520
191,14039.052160,537
192,14389.180711,564
193,13445.624635,539
194,13392.620444,531
195,13455.929874,528
196,13552.558104,501
197,14140.544299,520
198,13669.869964,535
199,13641.326979,551
200,13565.125690,501
