iter,tourLength,time
1,31795.785042,443
2,31283.447230,452
3,31361.067045,465
4,31153.720230,450
5,31578.815237,453
6,31590.819156,448
7,30780.037680,457
8,31667.789360,473
9,30999.391470,467
10,31404.064417,446
11,31185.595235,449
12,31331.360095,460
13,31838.100496,536
14,31278.456436,537
15,31560.013020,448
16,31434.052906,439
17,30936.730459,448
18,31709.493738,472
19,31128.241085,458
20,30403.120317,454
21,31881.380088,456
22,30659.542324,438
23,31228.356014,456
24,31481.455691,451
25,31691.635863,454
26,31665.765909,477
27,31818.032033,455
28,30813.788078,466
29,31012.250288,467
30,31646.672225,455
31,31255.493230,450
32,31265.337008,458
33,31248.517926,447
34,31302.019862,442
35,30144.364183,461
36,30699.518877,451
37,31392.888176,456
38,31551.375684,447
39,31051.465410,455
40,30914.559854,471
41,31695.349327,506
42,31605.990660,449
43,31011.330149,443
44,31485.092219,449
45,31036.975256,453
46,31456.582582,456
47,32000.683273,443
48,31209.110379,452
49,31564.135107,458
50,30540.244726,454
51,31895.228812,466
52,31148.888395,466
53,31927.126526,466
54,31339.631077,460
55,32394.158065,473
56,32227.146564,513
57,31950.333874,446
58,32523.375581,452
59,32482.409266,460
60,32251.943256,451
61,32705.015560,452
62,32604.331571,495
63,32685.795878,465
64,32730.958820,440
65,32438.525489,451
66,32948.673662,443
67,32996.140590,460
68,33193.136180,473
69,33064.142290,445
70,32627.805833,449
71,33154.319447,469
72,32966.316148,458
73,32786.435975,488
74,33045.611120,453
75,33324.658312,445
76,32991.292885,458
77,33201.818222,455
78,32903.149504,452
79,33191.111451,441
80,33107.099466,446
81,33204.703867,458
82,33039.744150,471
83,33290.599110,455
84,33191.094538,473
85,33150.973143,465
86,33271.511716,451
87,33318.050789,445
88,33304.705265,453
89,33304.586653,441
90,33446.313789,444
91,33187.625896,449
92,32894.533011,453
93,33048.301954,455
94,33279.112664,482
95,33318.128584,477
96,33277.510129,462
97,33205.286764,447
98,33124.537828,448
99,32944.827703,453
100,33044.737630,463
101,33138.387809,466
102,33082.564628,450
103,32894.305844,452
104,33331.155729,460
105,32972.606294,469
106,33153.215826,457
107,33148.174957,459
108,33127.468242,456
109,33290.448141,461
110,33350.668202,451
111,33092.920341,477
112,33070.861619,492
113,33310.801073,499
114,33165.000686,463
115,33134.117289,446
116,33266.045131,471
117,33063.895382,485
118,33328.422609,459
119,33126.595494,451
120,33366.464775,448
121,33257.102469,443
122,33161.877026,451
123,33314.944887,474
124,33296.524079,436
125,33237.878543,449
126,33137.629936,455
127,33349.151662,492
128,33275.086066,452
129,32936.025156,457
130,33299.006663,449
131,33316.394729,454
132,33177.229328,461
133,33277.604729,447
134,33187.781728,447
135,33263.103597,451
136,33390.053306,443
137,33138.332718,479
138,33110.673783,473
139,33201.841273,450
140,33287.408005,448
141,33242.828204,458
142,33263.079322,448
143,33218.927796,447
144,33227.733278,442
145,33232.451815,467
146,33267.281317,472
147,33264.969714,448
148,32920.720459,444
149,33417.347687,516
150,33261.983514,471
151,33283.106978,445
152,33236.356524,452
153,33124.212399,446
154,33197.073752,463
155,33316.562567,450
156,32677.309409,441
157,33196.759282,446
158,33170.708189,448
159,33121.843629,460
160,33155.886069,499
161,33138.562672,455
162,33270.639134,446
163,32869.293395,450
164,33185.332483,456
165,33294.802221,445
166,33071.011147,451
167,33069.221084,451
168,33160.250349,455
169,33170.323136,454
170,33016.831280,448
171,33187.514940,474
172,33246.328790,462
173,33121.882465,475
174,33264.638647,436
175,33167.182762,459
176,33139.897482,454
177,33173.136714,475
178,33302.407394,449
179,33000.507305,443
180,33133.326768,457
181,33168.171355,456
182,33275.895842,503
183,33118.360437,451
184,33223.465752,453
185,33250.407388,454
186,32948.041328,452
187,32915.635063,455
188,32896.523991,449
189,32858.955385,454
190,33083.059802,450
191,33301.972341,464
192,33072.327115,437
193,32847.116791,480
194,33095.415319,454
195,33226.357085,458
196,33334.464205,457
197,32903.486418,449
198,33075.487585,442
199,33079.516148,446
200,33243.360711,464
