iter,tourLength,time
1,26462.289244,342
2,25592.387826,325
3,26328.941942,356
4,25369.893287,356
5,25397.722848,356
6,25822.269551,336
7,25854.977346,329
8,25513.208418,331
9,25848.770255,328
10,26012.865012,325
11,25539.790094,348
12,25527.216787,349
13,26042.893414,331
14,26075.825726,329
15,26513.829317,323
16,25870.879446,335
17,26240.695733,326
18,26071.079960,368
19,26195.593541,325
20,26021.844500,331
21,26282.108365,331
22,25886.574942,329
23,26059.417913,329
24,26386.960317,338
25,25293.163697,329
26,26121.749868,342
27,25610.104418,342
28,25702.667565,340
29,26414.945812,326
30,25440.866800,357
31,25478.330124,332
32,26124.888250,332
33,25516.328742,337
34,25658.136433,327
35,25894.664428,320
36,26332.166257,335
37,25066.658606,356
38,26092.981683,335
39,25812.119182,326
40,25203.262608,332
41,26195.199094,357
42,26214.531092,330
43,26237.482962,342
44,26097.697436,333
45,26084.007661,329
46,25575.872998,327
47,26393.000611,328
48,26037.228163,342
49,26041.595152,343
50,25726.474617,338
51,26453.456784,331
52,25689.248097,330
53,25299.280486,331
54,26024.484876,333
55,26291.762305,347
56,26012.618893,370
57,25165.500518,328
58,25766.896028,329
59,26147.982003,339
60,26453.904295,337
61,25796.350450,330
62,26062.583573,341
63,25684.694449,334
64,25851.626786,333
65,26134.856418,327
66,25662.610658,337
67,26466.388547,330
68,25571.439870,357
69,25891.753396,353
70,25760.086999,390
71,25857.235842,363
72,25894.136457,327
73,26167.404614,333
74,25912.661702,350
75,26418.432144,325
76,25779.180515,329
77,26196.445169,333
78,24897.964694,327
79,26750.232849,335
80,26381.251467,340
81,25863.231562,337
82,25756.471738,333
83,26479.949180,330
84,26186.297119,327
85,26078.701705,334
86,25325.146069,381
87,25942.463690,327
88,26230.303402,322
89,26049.020948,323
90,26182.547825,326
91,26239.244610,332
92,25849.092338,356
93,25431.338454,332
94,26323.410417,330
95,25842.645520,326
96,25612.583353,329
97,26179.885630,337
98,25525.824705,342
99,26292.687726,347
100,26167.013654,342
101,25204.517592,357
102,25921.433684,328
103,26255.231005,325
104,25173.694374,327
105,26135.580151,348
106,26388.760998,331
107,26161.826988,334
108,25452.874848,334
109,25846.727222,332
110,26007.715309,329
111,25696.078169,337
112,26088.523869,330
113,26032.325394,338
114,26016.436583,331
115,26027.957876,336
116,26403.009937,368
117,25548.636700,363
118,26025.180693,329
119,25983.430474,331
120,25822.540748,332
121,26227.113997,340
122,26357.416779,336
123,26242.890356,338
124,26285.390264,364
125,26196.992435,329
126,25292.962399,326
127,25731.941189,332
128,26143.171928,327
129,25894.709371,325
130,26173.117155,368
131,25538.154317,336
132,25553.360672,327
133,26148.350235,335
134,26488.072806,334
135,26701.875605,329
136,25212.851656,339
137,25960.458177,336
138,26209.647123,336
139,26596.852709,326
140,26225.199456,333
141,26450.010039,331
142,26478.060206,342
143,26082.520766,342
144,26349.871437,332
145,26460.630254,349
146,25892.654129,333
147,26029.241746,332
148,26480.681370,350
149,26326.868926,334
150,26234.957299,337
151,25996.041059,335
152,26224.562174,334
153,26270.466197,331
154,25493.010068,327
155,26414.100522,336
156,25746.613378,341
157,25831.477995,331
158,26046.296865,340
159,26328.463644,336
160,25385.247413,366
161,25004.043115,354
162,24676.188832,332
163,26145.148954,344
164,26013.716947,334
165,26082.484486,335
166,26064.427675,339
167,25795.045871,361
168,26043.724658,328
169,25876.505344,326
170,26358.576045,330
171,26309.247631,329
172,25999.227902,331
173,26336.245754,345
174,25573.631095,353
175,26002.472514,355
176,25401.639262,343
177,26044.658581,366
178,25332.235535,337
179,26237.003020,333
180,26202.081182,333
181,25545.195009,337
182,25743.613677,338
183,26425.505734,329
184,25920.206236,333
185,25508.831980,341
186,25952.364177,351
187,26287.501514,330
188,25468.537554,335
189,25973.910913,342
190,25899.786937,358
191,26024.063914,328
192,26049.194188,343
193,24904.954540,328
194,26076.942235,333
195,26017.885202,335
196,25823.629356,327
197,26030.799187,330
198,26195.648678,353
199,25293.888458,327
200,25500.200243,344
