iter,tourLength,time
1,31888.460448,72
2,32129.262576,70
3,32768.924991,73
4,32515.914926,74
5,31352.414735,73
6,32164.698687,74
7,32835.028806,67
8,32306.348454,81
9,32060.540656,86
10,31479.297000,74
11,31982.636285,72
12,32307.837572,71
13,32248.456085,70
14,32676.607465,78
15,32312.012045,70
16,32126.513700,82
17,32239.071410,89
18,32477.971736,73
19,32517.302661,80
20,31846.457688,77
21,32060.249741,76
22,31755.143957,72
23,31898.396273,73
24,32263.167431,72
25,31617.837837,72
26,31149.502710,70
27,31638.717437,71
28,32542.830855,70
29,32953.259750,70
30,31618.845914,71
31,31845.540884,64
32,32571.027704,70
33,32757.911575,68
34,32142.633786,68
35,32641.631511,65
36,32677.977598,64
37,31500.625139,70
38,31602.899570,70
39,32371.682033,67
40,32415.952319,68
41,32474.532412,68
42,31548.201102,69
43,31672.340754,67
44,32261.484037,71
45,31301.699412,70
46,31584.536189,71
47,32032.844082,70
48,32430.616505,65
49,32292.784854,64
50,32681.054871,65
51,32448.771617,67
52,32923.477156,69
53,32956.112963,67
54,32729.437835,67
55,32516.306847,67
56,33023.750038,70
57,32764.484655,67
58,32795.872736,67
59,32958.500904,70
60,32893.523340,68
61,32913.530803,72
62,32485.880668,71
63,33130.803449,96
64,32973.252246,79
65,33060.437866,77
66,32937.982609,72
67,32805.281405,66
68,32962.909245,69
69,33023.205087,71
70,32994.186521,70
71,33075.774347,71
72,33255.193637,71
73,32840.203082,71
74,33247.546009,72
75,32963.217340,73
76,32990.019083,69
77,33347.547133,70
78,33129.012141,69
79,33147.114709,71
80,32689.775017,71
81,33049.964626,70
82,32903.223836,70
83,33088.442539,69
84,33080.451095,67
85,33048.829077,64
86,33228.893112,68
87,33222.854090,72
88,33295.421589,70
89,33141.025874,71
90,33070.872817,68
91,32829.584059,67
92,33107.523762,68
93,33196.244808,71
94,33103.193599,72
95,33036.251851,65
96,33244.638443,67
97,33170.850543,69
98,33019.072207,67
99,33030.705617,67
100,33070.255269,70
101,32926.891008,70
102,33053.937601,69
103,33154.220955,67
104,33129.895299,71
105,33088.106331,77
106,33242.472291,71
107,33216.584352,71
108,33000.247242,69
109,32915.314516,67
110,33124.962599,70
111,33256.199915,70
112,32923.451060,72
113,33012.550708,67
114,33175.022976,70
115,33228.669663,73
116,33196.005559,69
117,33288.125025,66
118,32812.758687,68
119,33132.296235,65
120,33167.354246,72
121,33209.850247,71
122,32910.446351,68
123,33102.504170,72
124,33303.156363,72
125,33184.472481,70
126,33279.060856,67
127,33099.893574,66
128,32894.964056,67
129,33151.700355,71
130,33246.586534,70
131,33366.667734,69
132,32945.033620,70
133,33287.217365,71
134,33148.591141,71
135,33199.369393,79
136,33094.260599,79
137,33200.752326,68
138,33284.358093,70
139,33211.975598,68
140,33263.348904,70
141,33273.174434,68
142,33236.700450,70
143,33062.948813,70
144,33274.236995,68
145,32734.659010,68
146,33223.150559,65
147,33101.454689,65
148,32873.579509,67
149,33277.818869,66
150,33334.784333,65
151,33335.076358,69
152,33303.233732,68
153,33161.616550,73
154,33387.568599,68
155,33166.823316,65
156,33180.802675,66
157,33209.590253,66
158,33141.554246,70
159,33167.127762,69
160,33351.739808,71
161,33133.227670,71
162,33142.912442,71
163,33005.056000,66
164,32893.836673,66
165,33145.102395,69
166,33003.335381,79
167,32949.597326,70
168,33300.615431,71
169,33240.277708,68
170,33203.968332,67
171,33189.712530,65
172,33143.317339,67
173,33064.782852,65
174,32919.956139,70
175,33259.232251,66
176,33133.184514,67
177,32790.840157,68
178,32998.469407,70
179,32904.267569,69
180,33079.370999,68
181,32931.637843,68
182,33265.211149,66
183,32936.874770,72
184,32920.736276,67
185,33180.273351,69
186,33218.960586,65
187,33134.349232,71
188,33263.188016,66
189,33344.664790,66
190,33171.781819,67
191,33227.956811,65
192,33280.312924,66
193,33105.322791,67
194,33065.936579,68
195,33248.243889,69
196,33103.082832,71
197,33311.991597,65
198,33292.364273,64
199,33305.309588,70
200,33143.948995,66
201,33083.969913,66
202,32756.835758,70
203,33163.708941,66
204,33253.949873,69
205,33041.583927,69
206,33049.341863,73
207,33333.056552,74
208,33179.319699,73
209,33237.832016,75
210,33280.887356,66
211,33414.456008,70
212,33066.548392,66
213,33239.546223,74
214,33240.828207,70
215,33165.703242,69
216,32917.105809,72
217,33086.658291,72
218,33146.036536,69
219,32909.378928,72
220,32911.443879,72
221,32942.645524,68
222,33222.266210,69
223,33070.778930,70
224,33262.089449,70
225,33353.229101,72
226,33221.705938,71
227,33066.373981,70
228,33005.600109,67
229,33110.278234,69
230,33255.700578,71
231,33189.373614,72
232,33135.434559,73
233,33268.667127,71
234,33304.629387,69
235,33112.314500,71
236,32951.313867,71
237,33077.728686,72
238,33246.147531,66
239,33114.358115,66
240,33153.668899,72
241,32956.958114,67
242,32960.414644,71
243,33248.686492,82
244,32797.471954,73
245,33199.030482,71
246,33172.846066,68
247,33355.415498,74
248,33340.513797,71
249,33226.820181,67
250,33133.089819,69
251,32982.393544,72
252,33179.042125,72
253,33284.745744,68
254,33285.131153,73
255,33111.368750,81
256,33253.956070,68
